Assemblies                                 final.contigs
Alcanivorax_pacificus_W11_5                0.00         
Aurantimonas_manganoxydans_SI85_9A1        0.00         
Desulfitibacter_alkalitolerans_DSM_16504   0.00         
Desulfuromonas_thiophila                   0.00         
Flavobacterium_sp._SCGC_AAA160_P02         0.00         
Fluviicola_taffensis_DSM_16823             0.00         
Geobacter_daltonii_FRC_32                  0.00         
Gracilibacteria_bacterium_JGI_0000069_P22  0.00         
Luminiphilus_syltensis_NOR5_1B             0.00         
Magnetococcus_marinus_MC_1                 0.00         
Magnetospira_sp._QH_2                      0.00         
Marinomonas_communis                       0.00         
Methylobacter_sp._XLMV4                    0.00         
Mollicutes_bacterium_HR1                   0.00         
Mycoplasma_arthritidis_158L3_1             -            
Nitrospina_gracilis                        0.00         
Nitrospina_sp._SCGC_AAA288_L16             0.00         
Nocardioides_albus                         0.00         
Oceanicola_granulosus_HTCC2516             0.00         
Owenweeksia_hongkongensis_DSM_17368        0.00         
Paracoccus_aminophilus                     0.00         
Phaeocystidibacter_sp._G18                 0.00         
Porticoccus_hydrocarbonoclasticus_MCTG13d  0.00         
Pseudoruegeria_aquimaris                   0.00         
Shewanella_amazonensis_SB2B                0.00         
Sphingobium_fuliginis                      0.00         
Sulfitobacter_sp._NAS_14.1                 0.00         
Synechococcus_sp._WH_8102                  0.00         
Syntrophus_aciditrophicus                  0.00         
Syntrophus_aciditrophicus_SB               0.00         
Tenacibaculum_skagerrakense                0.00         
Thioalkalivibrio_sp._ALJ17                 0.00         
Thioalkalivibrio_sulfidiphilus_HL_EbGr7    0.00         
Thiohalobacter_thiocyanaticus              0.00         
Xanthomonas_citri_subsp._malvacearum       0.00         
alpha_proteobacterium_BAL199               0.00         
endosymbiont_of_Ridgeia_piscesae           0.00         
gamma_proteobacterium_SCGC_AB_629_P17      0.00         
marine_gamma_proteobacterium_HTCC2080      0.00         
marine_metagenome                          0.00         
mine_drainage_metagenome                   -            
